Gene	Gene synonym	Ensembl	Gene description	Chromosome	Position	Protein class	Evidence	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	Prognostic p-value	RNA cancer category	RNA tissue category	RNA TS	RNA TS TPM	TPM max in non-specific	RNA cell line category	RNA CS	RNA CS TPM
CARD11	BIMP3, CARMA1	ENSG00000198286	Caspase recruitment domain family member 11	7	2906141-3043945	Cancer-related genes, Disease related genes, Predicted intracellular proteins	Evidence at protein level	HPA052984	Approved				Renal cancer:6.68e-8 (unfavourable), Urothelial cancer:1.10e-4 (favourable)	Expressed in all	Tissue enhanced		lymph node: 54.4;spleen: 40.2	appendix: 28.3	Cell line enhanced		Daudi: 86.5;RT4: 71.8;U-698: 73.9
CARS	CARS1	ENSG00000110619	Cysteinyl-tRNA synthetase	11	3000922-3057613	Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA002383, HPA002384, CAB075734, CAB075735, CAB075736, CAB075737	Enhanced		Enhanced	Cytosol	Renal cancer:0.00e+0 (unfavourable), Liver cancer:5.16e-4 (unfavourable)	Expressed in all	Expressed in all			thyroid gland: 28.2	Mixed		
CASP8	Casp-8, FLICE, MACH, MCH5	ENSG00000064012	Caspase 8	2	201233443-201287711	Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA001302, CAB002047, HPA005688, HPA006191	Approved		Supported	Nucleoplasm<br>Cytosol	Renal cancer:1.27e-6 (unfavourable), Ovarian cancer:1.25e-4 (favourable), Liver cancer:3.02e-4 (unfavourable)	Expressed in all	Expressed in all			spleen: 44.8	Expressed in all		
CBFA2T3	ETO2, MTG16, MTGR2, RUNX1T3, ZMYND4	ENSG00000129993	CBFA2/RUNX1 translocation partner 3	16	88874858-88977204	Cancer-related genes, Disease related genes, Predicted intracellular proteins	Evidence at protein level	HPA059931, HPA062423, HPA065890	Approved		Enhanced	Nucleoplasm	Head and neck cancer:3.95e-4 (favourable)	Mixed	Tissue enhanced		spleen: 18.7	lymph node: 10.4	Cell line enhanced		HEL: 57.7;K-562: 102.3;MOLT-4: 46.5;REH: 103.4;T-47d: 47.0
CBFB	PEBP2B	ENSG00000067955	Core-binding factor beta subunit	16	67029116-67101058	Cancer-related genes, Disease related genes, Predicted intracellular proteins	Evidence at protein level	HPA038852	Uncertain		Approved	Nucleus<br>Cytosol	Renal cancer:2.89e-8 (unfavourable), Liver cancer:2.83e-4 (unfavourable)	Expressed in all	Expressed in all			parathyroid gland: 97.5	Expressed in all		
CBL	c-Cbl, CBL2, RNF55	ENSG00000110395	Cbl proto-oncogene	11	119206276-119313926	Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	CAB004350, HPA027956	Enhanced		Supported	Cytosol		Expressed in all	Mixed			testis: 33.9	Expressed in all		
CBLB	Cbl-b, RNF56	ENSG00000114423	Cbl proto-oncogene B	3	105655461-105869552	Cancer-related genes, Enzymes, Predicted intracellular proteins	Evidence at protein level	HPA018327, HPA019880	Approved		Supported	Nucleoplasm<br>Cytosol		Expressed in all	Expressed in all			lymph node: 28.0	Cell line enhanced		U-138 MG: 63.4
CBLC	CBL-3, CBL-SL, RNF57	ENSG00000142273	Cbl proto-oncogene C	19	44777869-44800634	Cancer-related genes, Enzymes, Predicted intracellular proteins	Evidence at protein level	CAB008087, HPA035266	Approved		Approved	Nucleoplasm	Renal cancer:3.11e-6 (favourable)	Mixed	Tissue enhanced		duodenum: 52.5;skin: 41.9;small intestine: 44.0	colon: 21.4	Cell line enhanced		A-431: 38.2;BEWO: 28.0;CACO-2: 23.9;CAPAN-2: 51.1;HaCaT: 37.6;HBEC3-KT: 25.9;RT4: 29.6;SK-BR-3: 24.0
CCDC6	D10S170, H4, PTC, TPC, TST1	ENSG00000108091	Coiled-coil domain containing 6	10	59788763-59906656	Cancer-related genes, Disease related genes, Predicted intracellular proteins	Evidence at protein level	HPA019049, HPA019051	Enhanced		Supported	Cytosol	Liver cancer:1.11e-4 (unfavourable), Pancreatic cancer:3.95e-4 (unfavourable), Head and neck cancer:5.48e-4 (favourable)	Expressed in all	Expressed in all			smooth muscle: 44.4	Expressed in all		
CCNB1IP1	C14orf18, HEI10	ENSG00000100814	Cyclin B1 interacting protein 1	14	20311368-20333312	Cancer-related genes, Enzymes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level						Renal cancer:5.18e-6 (favourable)	Expressed in all	Expressed in all			ovary: 120.9	Expressed in all		
CCND1	BCL1, D11S287E, PRAD1, U21B31	ENSG00000110092	Cyclin D1	11	69641087-69654474	Cancer-related genes, Disease related genes, FDA approved drug targets, Predicted intracellular proteins	Evidence at protein level	CAB000024, HPA027802	Uncertain		Supported	Nucleoplasm	Pancreatic cancer:1.96e-4 (unfavourable), Head and neck cancer:5.51e-4 (unfavourable)	Expressed in all	Tissue enhanced		parathyroid gland: 340.4	skin: 140.5	Cell line enhanced		WM-115: 1198.2
CCND2		ENSG00000118971	Cyclin D2	12	4273772-4305350	Cancer-related genes, Disease related genes, Predicted intracellular proteins	Evidence at protein level	HPA049138, HPA054196	Approved		Supported	Nucleoplasm	Thyroid cancer:9.76e-5 (favourable), Pancreatic cancer:2.52e-4 (favourable)	Expressed in all	Mixed			epididymis: 55.9	Cell line enhanced		AF22: 155.7;HDLM-2: 235.1;Karpas-707: 252.4;RH-30: 221.5
CCND3		ENSG00000112576	Cyclin D3	6	41934933-42050357	Cancer-related genes, Predicted intracellular proteins	Evidence at protein level	CAB000116	Approved				Thyroid cancer:8.08e-6 (favourable)	Expressed in all	Expressed in all			lymph node: 159.2	Expressed in all		
CCNE1	CCNE	ENSG00000105173	Cyclin E1	19	29811898-29824308	Cancer-related genes, Predicted intracellular proteins	Evidence at protein level	CAB000308, CAB016682, HPA018169	Approved		Enhanced	Nucleoplasm	Endometrial cancer:6.35e-6 (unfavourable), Liver cancer:3.89e-5 (unfavourable), Ovarian cancer:2.97e-4 (unfavourable)	Expressed in all	Tissue enhanced		placenta: 44.6	testis: 22.5	Expressed in all		
CD274	B7-H, B7-H1, B7H1, PD-L1, PDCD1LG1, PDL1	ENSG00000120217	CD274 molecule	9	5450503-5470566	Cancer-related genes, CD markers, FDA approved drug targets, Predicted membrane proteins	Evidence at protein level	CAB030018, CAB076385	Enhanced		Approved	Cytosol	Colorectal cancer:1.64e-5 (favourable), Breast cancer:8.89e-4 (favourable)	Mixed	Mixed			appendix: 14.0	Cell line enhanced		HDLM-2: 82.8;HHSteC: 46.6;U-251 MG: 80.8
CD74	DHLAG	ENSG00000019582	CD74 molecule	5	150401637-150412929	Cancer-related genes, CD markers, Disease related genes, Predicted membrane proteins	Evidence at protein level	CAB002506, HPA010592	Enhanced		Supported	Golgi apparatus	Endometrial cancer:6.53e-6 (favourable), Breast cancer:1.06e-4 (favourable)	Expressed in all	Expressed in all			spleen: 6545.9	Cell line enhanced		CAPAN-2: 1796.9;Daudi: 2297.1;HDLM-2: 4315.9;REH: 2549.8
CD79A	IGA, MB-1	ENSG00000105369	CD79a molecule	19	41877120-41881372	Cancer-related genes, CD markers, Disease related genes, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	CAB000019	Enhanced				Head and neck cancer:1.18e-5 (favourable), Renal cancer:2.15e-5 (unfavourable), Breast cancer:8.45e-5 (favourable)	Mixed	Group enriched	6	appendix: 263.8;lymph node: 515.1;spleen: 317.9;tonsil: 423.1	stomach: 63.3	Group enriched	23	Daudi: 1084.6;REH: 432.6;U-698: 905.8
CD79B	B29, IGB	ENSG00000007312	CD79b molecule	17	63928740-63932354	Cancer-related genes, CD markers, Disease related genes, Predicted membrane proteins	Evidence at protein level	HPA009178, CAB009751	Enhanced		Uncertain	Nucleoplasm<br>Plasma membrane<br>Cytosol	Head and neck cancer:2.35e-4 (favourable)	Expressed in all	Group enriched	5	appendix: 91.1;lymph node: 311.5;spleen: 157.4;tonsil: 189.1	bone marrow: 36.1	Group enriched	17	Daudi: 751.6;REH: 317.0;U-698: 986.5
CDC73	C1orf28, FIHP, HRPT1, HRPT2, parafibromin	ENSG00000134371	Cell division cycle 73	1	193122017-193253901	Cancer-related genes, Disease related genes, Predicted intracellular proteins	Evidence at protein level	CAB016359, HPA030772	Enhanced		Supported	Nucleus<br>Cytosol		Expressed in all	Expressed in all			thyroid gland: 32.2	Expressed in all		
CDH1	CD324, UVO, uvomorulin	ENSG00000039068	Cadherin 1	16	68737225-68835548	Cancer-related genes, CD markers, Disease related genes, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	CAB000087, HPA004812, CAB028364, CAB072855, CAB072856, CAB072857	Enhanced		Supported	Golgi apparatus<br>Plasma membrane<br>Cell Junctions	Renal cancer:2.06e-4 (favourable)	Expressed in all	Tissue enhanced		parathyroid gland: 475.1	thyroid gland: 266.2	Cell line enhanced		BEWO: 645.6;CAPAN-2: 281.0;HaCaT: 273.9
CDH11	CAD11, OB	ENSG00000140937	Cadherin 11	16	64943753-65126112	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	CAB013072	Enhanced				Renal cancer:2.48e-9 (unfavourable)	Expressed in all	Tissue enhanced		ovary: 223.4	placenta: 173.7	Cell line enhanced		BJ: 205.7;fHDF/TERT166: 259.6;HSkMC: 159.5;PC-3: 262.9;U-2197: 178.5
CDK12	CRK7, CRKR, CRKRS, KIAA0904	ENSG00000167258	Cyclin dependent kinase 12	17	39461511-39564907	Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA008038	Supported		Supported	Nucleus		Expressed in all	Expressed in all			testis: 33.8	Expressed in all		
CDK6	PLSTIRE	ENSG00000105810	Cyclin dependent kinase 6	7	92604921-92836594	Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA002637, CAB004363	Enhanced		Supported	Nucleoplasm<br>Cytosol	Pancreatic cancer:3.86e-6 (unfavourable), Urothelial cancer:2.33e-5 (unfavourable)	Expressed in all	Mixed			parathyroid gland: 34.2	Cell line enhanced		MOLT-4: 366.7;REH: 201.1
CDKN1B	KIP1, P27KIP1	ENSG00000111276	Cyclin dependent kinase inhibitor 1B	12	12715058-12722371	Cancer-related genes, Disease related genes, Predicted intracellular proteins	Evidence at protein level	CAB003691, CAB021888, HPA059086	Approved		Supported	Nucleus<br>Vesicles	Liver cancer:3.25e-4 (unfavourable), Colorectal cancer:5.15e-4 (favourable), Renal cancer:8.39e-4 (unfavourable)	Expressed in all	Expressed in all			ovary: 73.1	Mixed		
CDKN2A	ARF, CDK4I, CDKN2, CMM2, INK4, INK4a, MLM, MTS1, p14, p14ARF, p16, p16INK4a, p19, p19Arf	ENSG00000147889	Cyclin dependent kinase inhibitor 2A	9	21967753-21995301	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	CAB000093, CAB000445, CAB018232, HPA047838	Uncertain		Enhanced	Nucleoli	Endometrial cancer:1.82e-7 (unfavourable), Renal cancer:5.76e-7 (unfavourable), Liver cancer:2.17e-4 (unfavourable), Head and neck cancer:5.19e-4 (favourable)	Expressed in all	Mixed			parathyroid gland: 7.5	Cell line enhanced		HEK93: 297.6
CDKN2C	INK4C, p18	ENSG00000123080	Cyclin dependent kinase inhibitor 2C	1	50960745-50974633	Cancer-related genes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	CAB005303, CAB018398, HPA019057, HPA019764	Approved		Approved	Nucleoplasm<br>Cytosol	Renal cancer:1.70e-10 (unfavourable), Liver cancer:1.58e-4 (unfavourable)	Expressed in all	Expressed in all			adipose tissue: 80.3	Mixed		
CDX2	CDX3	ENSG00000165556	Caudal type homeobox 2	13	27962137-27971139	Cancer-related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	CAB002221, HPA045669, HPA049580	Enhanced		Supported	Nucleoplasm		Tissue enriched	Group enriched	6	colon: 30.8;duodenum: 22.3;rectum: 24.9;small intestine: 30.2	appendix: 4.7	Cell line enhanced		CACO-2: 9.4;CAPAN-2: 3.3;HEK93: 5.6
CEBPA	C/EBP-alpha, CEBP	ENSG00000245848	CCAAT/enhancer binding protein alpha	19	33299934-33302564	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA052734, HPA065037, HPA067937	Approved		Approved	Nucleoplasm<br>Vesicles		Expressed in all	Expressed in all			adipose tissue: 108.0	Cell line enhanced		BEWO: 187.4;THP-1: 270.7;U-937: 100.7
CEP89	CCDC123, FLJ14640	ENSG00000121289	Centrosomal protein 89	19	32875925-32971991	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA039382, HPA040056			Supported	Plasma membrane<br>Cytosol	Liver cancer:8.78e-5 (unfavourable)	Expressed in all	Mixed			fallopian tube,prostate: 14.5	Expressed in all		
CHCHD7	COX23, MGC2217	ENSG00000170791	Coiled-coil-helix-coiled-coil-helix domain containing 7	8	56211686-56218798	Cancer-related genes, Disease related genes, Predicted intracellular proteins	Evidence at protein level	HPA050783	Approved		Approved	Cell Junctions<br>Aggresome	Endometrial cancer:1.39e-6 (unfavourable), Renal cancer:9.47e-5 (favourable)	Expressed in all	Expressed in all			ovary: 61.6	Expressed in all		
CHD4	Mi-2b, Mi2-BETA	ENSG00000111642	Chromodomain helicase DNA binding protein 4	12	6570083-6607476	Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA012008	Supported		Enhanced	Nucleus	Liver cancer:6.03e-6 (unfavourable)	Expressed in all	Expressed in all			parathyroid gland: 119.0	Expressed in all		
CHIC2	BTL	ENSG00000109220	Cysteine rich hydrophobic domain 2	4	54009789-54064690	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA026782, HPA026784, HPA076603	Uncertain		Enhanced	Vesicles<br>Plasma membrane	Renal cancer:1.56e-4 (unfavourable)	Expressed in all	Expressed in all			testis: 63.2	Expressed in all		
CIC	KIAA0306	ENSG00000079432	Capicua transcriptional repressor	19	42268537-42295797	Cancer-related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	CAB026388, HPA044341, HPA064725	Approved		Supported	Nucleoplasm<br>Vesicles		Expressed in all	Expressed in all			testis: 54.9	Expressed in all		
CIITA	C2TA, MHC2TA, NLRA	ENSG00000179583	Class II major histocompatibility complex transactivator	16	10866222-10932281	Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	CAB016084	Enhanced		Approved	Nucleoplasm		Expressed in all	Mixed			lymph node,spleen: 59.2	Cell line enhanced		HDLM-2: 44.9;REH: 81.4
CLIP1	CLIP, CLIP-170, CLIP170, CYLN1, RSN	ENSG00000130779	CAP-Gly domain containing linker protein 1	12	122271432-122422632	Cancer-related genes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	CAB004399, HPA026678	Approved		Supported	Microtubule ends<br>Cytosol		Expressed in all	Expressed in all			parathyroid gland: 158.6	Expressed in all		
CLP1	hClp1, HEAB	ENSG00000172409	Cleavage and polyadenylation factor I subunit 1	11	57648992-57661868	Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA057770	Supported		Supported	Nucleoplasm		Expressed in all	Expressed in all			bone marrow: 17.0	Expressed in all		
CLTC	CLTCL2, Hc	ENSG00000141367	Clathrin heavy chain	17	59619689-59696956	Cancer-related genes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	CAB010389, CAB011571, CAB017155, HPA059143	Approved		Enhanced	Vesicles<br>Mitotic spindle<br>Cytosol	Urothelial cancer:2.02e-4 (unfavourable), Liver cancer:5.54e-4 (unfavourable), Cervical cancer:7.35e-4 (unfavourable), Colorectal cancer:7.65e-4 (favourable)	Expressed in all	Expressed in all			parathyroid gland: 365.5	Expressed in all		
CLTCL1	CHC22, CLH22, CLTCL, CLTD	ENSG00000070371	Clathrin heavy chain like 1	22	19179473-19291716	Cancer-related genes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA075795			Approved	Vesicles		Mixed	Tissue enhanced		skeletal muscle: 24.1;testis: 49.4	bone marrow: 10.4	Cell line enhanced		HMC-1: 56.9
CNBP	CNBP1, DM2, RNF163, ZCCHC22, ZNF9	ENSG00000169714	CCHC-type zinc finger nucleic acid binding protein	3	129169484-129183922	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA063097			Supported	Nucleus<br>Cytosol	Pancreatic cancer:3.51e-4 (unfavourable)	Expressed in all	Expressed in all			ovary: 474.6	Expressed in all		
CNOT3	KIAA0691, LENG2, NOT3, NOT3H	ENSG00000088038	CCR4-NOT transcription complex subunit 3	19	54137728-54155681	Cancer-related genes, Predicted intracellular proteins	Evidence at protein level	HPA006408	Approved		Approved	Cytosol	Liver cancer:2.22e-4 (unfavourable), Renal cancer:2.77e-4 (unfavourable)	Expressed in all	Expressed in all			testis: 36.1	Expressed in all		
CNTRL	CEP1, CEP110	ENSG00000119397	Centriolin	9	121074863-121177610	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA020468, HPA020480, HPA051583	Approved		Supported	Centrosome<br>Cytosol	Head and neck cancer:9.21e-5 (favourable)	Expressed in all	Tissue enhanced		testis: 65.8	lymph node: 29.0	Expressed in all		
COL1A1	OI4	ENSG00000108821	Collagen type I alpha 1 chain	17	50183289-50201632	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA008405, HPA011795	Uncertain		Approved	Vesicles<br>Cytosol	Renal cancer:7.19e-12 (unfavourable), Lung cancer:4.43e-4 (unfavourable)	Expressed in all	Expressed in all			cervix, uterine: 1872.5	Cell line enhanced		BJ: 2487.8;fHDF/TERT166: 3474.4;HSkMC: 1569.1;U-138 MG: 2286.9
COL2A1	AOM, SEDC, STL1	ENSG00000139219	Collagen type II alpha 1 chain	12	47972965-48004486	Cancer-related genes, Disease related genes, Predicted secreted proteins	Evidence at protein level	CAB002214, HPA055753	Supported		Approved	Nucleoplasm		Mixed	Group enriched	9	epididymis: 23.0;stomach: 6.2	prostate: 1.6	Group enriched	23	AF22: 154.1;HAP1: 101.9;HEK93: 33.7
